Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity
130,244,69,18,16,0.458122847,4.417272358
131,205,63,18,14,0.628539361,4.400110863
132,238,68,19,16,0.539313198,4.40778532
133,236,68,18.02775638,15,0.554700196,4.426422973
134,408,117,30.47950131,23.43074903,0.639563899,5.792363126
135,224,67,15.8113883,15.8113883,0,4.476625802
136,321,105,30.8058436,16.64331698,0.841494982,5.860528508
137,261,73,18.38477631,16.97056275,0.384615385,4.518586562
138,254,72,19.10497317,16.1245155,0.536349916,4.517681797
139,230,65,17,15,0.470588235,4.285973077
140,218,60,15,15,0,4.063712769
141,240,68,19.02629759,15.03329638,0.612936055,4.389381126
142,236,64,18,14,0.628539361,4.166045151
143,222,63,16.1245155,16.1245155,0,4.228283148
144,349,103,32.24903099,17,0.849773726,5.513463594
145,244,69,19.31320792,15.8113883,0.574246213,4.417272358
148,254,68,18,16,0.458122847,4.266699475
149,237,68,18,15,0.552770798,4.417074657
150,263,70,17,16,0.33791545,4.316384912
151,217,62,16,15,0.347985273,4.208834246
152,323,80,24.51530134,15.29705854,0.781440285,4.451319073
153,235,66,17.4642492,16.15549442,0.379818766,4.305365282
154,271,72,20.39607805,16.2788206,0.602478854,4.373688522
155,220,60,15,15,0,4.045199175
156,231,67,16.97056275,15.55634919,0.399652627,4.408276356
159,233,66,17,16,0.33791545,4.323803762
160,256,70,19,17,0.446593757,4.375
161,398,118,33,19,0.817620458,6.215558368
162,268,75,19.6468827,17.72004515,0.43188945,4.581354163
163,267,71,18.68154169,16.4924225,0.469713075,4.345129436
164,257,67,19.6468827,16.4924225,0.543448974,4.179345172
165,263,70,19.6468827,16.76305461,0.521556062,4.316384912
166,259,72,19.79898987,15.55634919,0.618589574,4.473862315
167,269,74,19.84943324,17.02938637,0.513769784,4.51185963
168,238,68,17,16,0.33791545,4.40778532
169,268,72,19.41648784,16.2788206,0.5450525,4.398099997
170,254,67,18,16,0.458122847,4.203953894
171,251,71,17.4642492,16.55294536,0.31880926,4.481480262
172,242,66,17,16,0.33791545,4.242640687
173,240,68,18,16,0.458122847,4.389381126
174,246,66,17,16,0.33791545,4.208006306
175,247,70,18.38477631,15.8113883,0.510249968,4.453993341
176,230,64,16,16,0,4.22003503
177,247,70,19.20937271,16.2788206,0.530888706,4.453993341
178,240,68,18,16,0.458122847,4.389381126
179,334,90,25.63201124,16.15549442,0.776363141,4.924580896
180,263,74,18.38477631,16.2788206,0.464732537,4.563035478
181,238,68,17,16,0.33791545,4.40778532
182,259,72,18.78829423,16.55294536,0.473070855,4.473862315
183,248,68,17.4642492,16.55294536,0.31880926,4.318004318
184,264,71,18,17,0.328671099,4.36974793
185,253,70,17.4642492,16.4924225,0.3289327,4.400862294
186,262,71,18,17,0.328671099,4.386394649
187,248,65,17,16,0.33791545,4.127504128
188,261,71,20.61552813,16.4924225,0.6,4.39478967
189,215,68,18.02775638,13.92838828,0.634883393,4.637561508
190,380,109,30,18,0.8,6.104571195
191,255,69,17.72004515,16.4924225,0.365729356,4.320947608
192,262,70,17.69180601,16.97056275,0.282616709,4.324614443
193,282,74,20.61552813,17.80449381,0.50410083,4.406635873
194,254,69,18,16,0.458122847,4.329445055
195,261,72,19.10497317,16.2788206,0.523423923,4.456688116
196,259,71,18.78829423,17.4642492,0.36875105,4.411725339
197,263,71,19.10497317,16.2788206,0.523423923,4.378047553
198,317,81,23.32380758,17,0.684653197,4.549413246
199,281,77,19.23538406,17.49285568,0.415900196,4.593434894
200,260,72,18.38477631,16.97056275,0.384615385,4.465250445
201,292,79,22.02271555,17.80449381,0.588550552,4.623125314
202,265,70,18.02775638,16.64331698,0.384307569,4.300065818
203,301,76,22.09072203,17.11724277,0.632131445,4.380567175
204,253,66,17,16,0.33791545,4.149384449
205,271,74,19.79898987,16.97056275,0.515078754,4.49517987
206,293,82,19.84943324,17.02938637,0.513769784,4.79049115
207,256,69,19,16,0.539313198,4.3125
208,281,75,20,17,0.526782688,4.474124897
209,310,78,21,17,0.587087048,4.430102307
